ResourceID,ResouceName,ServiceName,Type,VPC,State,Region,Finding,EvaluationPeriod (seconds),Criteria,Saving($)
vol-0781f5dbe3549cec3,vol-0781f5dbe3549cec3,EBS,gp3,-,in-use,us-east-1,Unused,1209600,VolumeReadOps+VolumeWriteOps == 0,6.4
vol-029c7c76741bd6dfc,vol-029c7c76741bd6dfc,EBS,gp3,-,in-use,us-east-1,Unused,1209600,VolumeReadOps+VolumeWriteOps == 0,5.6
vol-099a6978db6c241d7,vol-099a6978db6c241d7,EBS,gp3,-,in-use,us-east-1,Unused,1209600,VolumeReadOps+VolumeWriteOps == 0,5.6
vol-03ee6f10f2827f9ef,vol-03ee6f10f2827f9ef,EBS,gp2,-,in-use,us-east-1,Unused,1209600,VolumeReadOps+VolumeWriteOps == 0,5.0
vol-0353bb4b4e66056fd,vol-0353bb4b4e66056fd,EBS,gp2,-,in-use,us-east-1,Unused,1209600,VolumeReadOps+VolumeWriteOps == 0,5.0
vol-0161a81518c7bbd23,vol-0161a81518c7bbd23,EBS,gp2,-,in-use,us-east-1,Unused,1209600,VolumeReadOps+VolumeWriteOps == 0,5.0
vol-0a3e8958b7c823969,vol-0a3e8958b7c823969,EBS,gp2,-,in-use,us-east-1,Unused,1209600,VolumeReadOps+VolumeWriteOps == 0,5.0
vol-01d73f47e510e64c9,vol-01d73f47e510e64c9,EBS,gp3,-,in-use,us-east-1,Unused,1209600,VolumeReadOps+VolumeWriteOps == 0,4.0
vol-03999d6cc4a0c7bf5,vol-03999d6cc4a0c7bf5,EBS,gp3,-,in-use,us-east-1,Unused,1209600,VolumeReadOps+VolumeWriteOps == 0,4.0
vol-0cf361f2c9f4bddc3,vol-0cf361f2c9f4bddc3,EBS,gp3,-,in-use,us-east-1,Unused,1209600,VolumeReadOps+VolumeWriteOps == 0,4.0
vol-0998899d757cb1b24,vol-0998899d757cb1b24,EBS,gp3,-,in-use,us-east-1,Unused,1209600,VolumeReadOps+VolumeWriteOps == 0,2.4
54.255.149.198,54.255.149.198,EIP,-,-,-,ap-southeast-1,Unallocated,-,EIP is Unallocated or Associated to a Stopped Instance,3.66
3.234.38.9,3.234.38.9,EIP,-,-,-,us-east-1,Unallocated,-,EIP is Unallocated or Associated to a Stopped Instance,0.0
34.193.42.152,34.193.42.152,EIP,-,-,-,us-east-1,Unallocated,-,EIP is Unallocated or Associated to a Stopped Instance,0.0
34.197.209.193,34.197.209.193,EIP,-,-,-,us-east-1,Unallocated,-,EIP is Unallocated or Associated to a Stopped Instance,0.0
34.231.7.204,34.231.7.204,EIP,-,-,-,us-east-1,Unallocated,-,EIP is Unallocated or Associated to a Stopped Instance,0.0
35.169.111.26,35.169.111.26,EIP,-,-,-,us-east-1,Unallocated,-,EIP is Unallocated or Associated to a Stopped Instance,0.0
44.209.160.25,44.209.160.25,EIP,-,-,-,us-east-1,Unallocated,-,EIP is Unallocated or Associated to a Stopped Instance,0.0
52.1.0.183,52.1.0.183,EIP,-,-,-,us-east-1,Unallocated,-,EIP is Unallocated or Associated to a Stopped Instance,0.0
52.22.150.119,52.22.150.119,EIP,-,-,-,us-east-1,Unallocated,-,EIP is Unallocated or Associated to a Stopped Instance,0.0
52.4.134.135,52.4.134.135,EIP,-,-,-,us-east-1,Unallocated,-,EIP is Unallocated or Associated to a Stopped Instance,0.0
